970;1171;1252;1456;1650;1600;1532;1681;1823;1856;1762;1877;1999;1892;1810;1904;2002;1915;1842;1925;2004;1924;1860;1929;1992;1940;1873;1937;1990
1636;1562;1834;1765;2001;1811;2004;1845;2004;1863;1995;1879;1996;1891;2002;1912;2014;1919;1998;1921;1998;1920;1989;1924;1988;1936;1985;1933;1986
1860;1881;1810;1915;2002;1931;1877;1944;1999;1949;1912;1950;1993;1957;1925;1958;1994;1964;1522;1522;1524;1515;1525;1514;1533;1518;1521;1518;1528
1996;1998;1999;1997;2000;1996;1994;1996;2000;1986;1989;1988;1987;1335;1371;1341;1370;1351;1990;1921;1987;1914;1978;1948;1985;1945;1983;1960;1977
1995;1921;1878;1941;1995;1950;1922;1961;1990;1294;1290;1402;1292;1651;1629;1650;1679;1655;1676;1624;1685;1668;1689;1670;1687;1669;1680;1666;1680
1996;1878;1995;1910;1994;1926;1988;1342;1356;1525;1527;1522;1528;1947;1924;1949;1982;1955;1979;1914;1985;1903;1983;1916;1978;1927;1976;1926;1980
1994;1940;1905;1953;1989;1959;1278;1493;1436;1759;1755;1756;1755;1548;1573;1556;1587;1560;1761;1740;1765;1748;1755;1748;1753;1741;1766;1742;1767
1992;1991;1991;1988;1988;1330;1371;1587;1618;1983;1987;1982;1977;1755;1776;1752;1782;1756;1979;1916;1977;1916;1968;1918;1976;1931;1970;1926;1968
